Generation,Aptidao,Aptidao Caminhos,Média Caminhos,Melhor Caminho,Aptidao Espacial
0,705.8805418719212,100.0,131.25,350.0,124.63054187192117
1,260.919540229885,66.66666666666666,0.0,66.66666666666666,127.58620689655173
2,704.8953201970444,100.0,131.25,350.0,123.64532019704433
3,199.78243021346466,0.0,7.499999999999996,66.66666666666666,125.61576354679802
4,234.82142857142858,33.33333333333333,6.25,66.66666666666666,128.57142857142858
5,191.29720853858782,33.33333333333333,0.0,33.33333333333333,124.63054187192117
6,240.31198686371098,66.66666666666666,0.0,50.0,123.64532019704433
7,191.29720853858782,66.66666666666666,0.0,0.0,124.63054187192117
8,170.68965517241378,0.0,0.0,50.0,120.6896551724138
9,241.4100985221675,33.33333333333333,18.75,66.66666666666666,122.66009852216749
10,121.78776683087028,0.0,2.083333333333348,0.0,119.70443349753694
11,155.99343185550083,33.33333333333333,0.0,0.0,122.66009852216749
12,152.0525451559934,33.33333333333333,0.0,0.0,118.7192118226601
13,121.67487684729063,0.0,0.0,0.0,121.67487684729063
14,120.6896551724138,0.0,0.0,0.0,120.6896551724138
15,152.0525451559934,33.33333333333333,0.0,0.0,118.7192118226601
16,151.06732348111657,33.33333333333333,0.0,0.0,117.73399014778325
17,307.31732348111655,33.33333333333333,6.25,150.0,117.73399014778325
18,697.9987684729065,100.0,131.25,350.0,116.7487684729064
19,151.06732348111657,33.33333333333333,0.0,0.0,117.73399014778325
20,150.08210180623973,33.33333333333333,0.0,0.0,116.7487684729064
Tempo de execução,0:02:39.944460
